city,state,price,year,make,model,condition,cylinders,fuel,odometer,title,transmission,drive,size,type,color,lat,long
detroit metro,MI,21995,2017,gmc,terrain,excellent,6 cylinders,gas,28342,clean,automatic,fwd,mid-size,SUV,white,42.59142,-83.031
grand rapids,MI,21500,2015,cadillac,srx,excellent,6 cylinders,gas,22500,clean,automatic,4wd,full-size,SUV,black,42.8748,-85.8751
fargo ,MN,16980,2011,chevrolet,express cargo van,good,8 cylinders,gas,67922,clean,automatic,rwd,mid-size,van,blue,45.553434,-94.231841
savannah ,GA,19900,2014,mercedes-benz,benz e350,excellent,6 cylinders,gas,86000,clean,automatic,rwd,mid-size,sedan,blue,32.314,-81.3896
daytona beach,FL,27500,2016,ram,2500 4x4,excellent,8 cylinders,gas,67500,clean,automatic,4wd,full-size,pickup,silver,29.0422,-81.2863
frederick,MD,14995,2017,toyota,corolla se,excellent,4 cylinders,gas,47271,clean,automatic,fwd,mid-size,sedan,white,39.63823,-78.79433399999999
ocala,FL,1,2018,chevrolet,silverado 1500,excellent,8 cylinders,gas,29239,clean,automatic,4wd,full-size,truck,silver,28.466088,-81.396429
western maryland,MD,14995,2017,toyota,corolla se,excellent,4 cylinders,gas,47271,clean,automatic,fwd,mid-size,sedan,white,39.63823,-78.79433399999999
topeka,KS,28995,2014,gmc,sierra 1500,excellent,8 cylinders,gas,97207,clean,automatic,4wd,full-size,truck,black,38.671618,-94.36650999999999
lawton,OK,0,2007,ford,explorer,excellent,6 cylinders,gas,218452,clean,automatic,4wd,mid-size,SUV,blue,34.19709,-97.16056
ann arbor,MI,8995,2012,chevrolet,equinox,excellent,4 cylinders,gas,93162,clean,automatic,fwd,mid-size,SUV,grey,42.59142,-83.031
wichita,KS,26995,2016,ford,f-150,excellent,6 cylinders,gas,92341,clean,automatic,4wd,full-size,truck,grey,38.9142,-94.4073
North Windham,ME,8400,2013,volkswagen,passat,excellent,4 cylinders,gas,76000,clean,automatic,fwd,full-size,sedan,silver,43.6606,-70.2589
boston,MA,10490,2014,mitsubishi,outlander,excellent,4 cylinders,gas,90821,clean,automatic,4wd,mid-size,SUV,blue,42.551567,-70.981811
long island,NY,25999,2014,dodge,durango,excellent,8 cylinders,gas,63828,clean,automatic,4wd,full-size,SUV,silver,40.715321,-73.389156
eastern CT,CT,9500,2009,chevrolet,traverse,excellent,6 cylinders,gas,127562,clean,automatic,4wd,full-size,SUV,green,41.525061,-72.075562
oneonta,NY,7995,2010,ford,edge,excellent,6 cylinders,gas,120000,clean,automatic,4wd,full-size,SUV,white,42.085390999999994,-76.056076
san diego,CA,3999,2006,bmw,3 series 325i,like new,6 cylinders,gas,97000,clean,automatic,rwd,mid-size,sedan,grey,32.61732,-117.08426000000001
palm springs,CA,9995,2013,toyota,tacoma,good,4 cylinders,gas,201544,clean,automatic,rwd,full-size,truck,white,33.946412,-117.29511799999999
western slope,CO,7455,2013,toyota,corolla,good,4 cylinders,gas,139573,clean,automatic,fwd,mid-size,sedan,black,38.496514000000005,-107.897279
albany,NY,18995,2016,ford,explorer,excellent,6 cylinders,gas,83790,clean,automatic,4wd,full-size,SUV,black,42.147636999999996,-75.90009
harrisburg,PA,12995,2011,honda,pilot,excellent,6 cylinders,gas,88560,clean,automatic,4wd,full-size,SUV,custom,41.264911,-74.888325
hartford,CT,21490,2014,NaN,evoque,good,4 cylinders,gas,45199,clean,automatic,4wd,full-size,SUV,white,40.468826,-74.281734
southwest KS,MO,31550,2017,ford,f-150,excellent,8 cylinders,gas,52412,clean,automatic,4wd,full-size,truck,white,38.671618,-94.36650999999999
montgomery,AL,2600,2005,chevrolet,impala ls,good,6 cylinders,gas,201300,clean,automatic,fwd,mid-size,sedan,silver,32.4715,-86.4831
norfolk ,VA,12499,2012,bmw,335i,good,6 cylinders,gas,107000,clean,automatic,rwd,mid-size,sedan,black,36.8645,-76.3004
minneapolis ,MN,350,2002,pontiac,grand am,fair,4 cylinders,gas,226000,clean,automatic,fwd,mid-size,sedan,brown,44.9842,-92.7271
jackson,MS,15500,2011,ram,1500,good,8 cylinders,gas,48500,clean,automatic,rwd,full-size,pickup,green,32.340635999999996,-90.274658
albany,NY,8900,2009,chevrolet,tahoe,good,8 cylinders,gas,169000,clean,automatic,4wd,full-size,SUV,black,42.247,-73.7552
fargo ,MN,7200,2009,audi,a8l quattro,excellent,8 cylinders,other,206000,lien,other,4wd,full-size,sedan,black,47.1029,-95.9151
bellingham,WA,1600,2002,jaguar,x-type,excellent,6 cylinders,gas,123633,clean,automatic,4wd,mid-size,sedan,silver,48.748999999999995,-122.4887
indianapolis,IN,18900,2019,toyota,camry se,excellent,4 cylinders,gas,40000,clean,automatic,fwd,full-size,sedan,black,39.7154,-86.0933
roanoke,VA,0,2013,toyota,tacoma,excellent,6 cylinders,gas,78768,clean,automatic,4wd,mid-size,truck,blue,36.18,-80.1629
stockton,CA,11998,2016,honda,civic ex coupe,excellent,4 cylinders,gas,17000,salvage,automatic,fwd,compact,coupe,grey,38.609676,-121.43498500000001
odessa ,TX,17500,2008,ram,2500 mega cab,excellent,6 cylinders,diesel,247134,clean,automatic,4wd,full-size,truck,white,30.8119,-97.5942
Colchester,VT,7598,2011,toyota,corolla s,good,4 cylinders,gas,134150,clean,manual,fwd,compact,sedan,blue,44.439495,-73.210154
treasure coast,FL,18990,2015,ford,transit,good,6 cylinders,gas,132227,clean,automatic,rwd,mid-size,van,white,27.631375,-80.356205
worcester ,MA,25995,2013,mercedes-benz,benz s550 4matic,excellent,8 cylinders,gas,64489,clean,automatic,4wd,full-size,sedan,silver,41.9099,-72.6029
hickory ,NC,17900,2003,ford,f-250,good,8 cylinders,diesel,122767,clean,automatic,4wd,full-size,truck,grey,35.833799,-80.873632
odessa ,TX,22995,2014,bmw,5 series 535i m sport,excellent,6 cylinders,gas,84319,clean,automatic,rwd,mid-size,sedan,grey,30.3432,-97.738975
space coast,FL,0,2014,jaguar,xf,excellent,6 cylinders,gas,68419,clean,automatic,rwd,mid-size,sedan,red,28.815590000000004,-81.30914
south florida,FL,1500,2016,kia,forte,like new,4 cylinders,gas,74129,clean,automatic,fwd,full-size,sedan,black,25.774075,-80.239184
york,PA,7900,2009,toyota,sienna le,good,6 cylinders,gas,125839,clean,automatic,fwd,full-size,van,blue,39.972698,-76.695388
lake of the ozarks,MO,31995,2016,lexus,gx 460,excellent,8 cylinders,gas,79671,clean,automatic,4wd,mid-size,SUV,silver,38.671618,-94.36650999999999
boise,ID,13577,2000,ford,f-250 super duty,good,8 cylinders,diesel,150280,clean,automatic,4wd,full-size,truck,white,43.7069,-116.36200000000001
corpus christi,TX,5500,2008,dodge,nitro 4x4,good,6 cylinders,gas,165150,clean,automatic,4wd,mid-size,hatchback,black,27.6349,-97.3103
roanoke,VA,9950,2011,nissan,juke,good,4 cylinders,gas,101469,clean,automatic,4wd,full-size,SUV,silver,36.954366,-79.879737
killeen ,TX,7600,2008,nissan,pathfinder,excellent,8 cylinders,gas,139046,clean,automatic,rwd,full-size,SUV,blue,31.9116,-98.6082
lansing,MI,11599,2017,buick,regal,new,4 cylinders,gas,21000,rebuilt,automatic,fwd,full-size,sedan,silver,42.7635,-84.55799999999999
ventura county,CA,0,2017,ford,focus,excellent,4 cylinders,gas,59503,clean,automatic,fwd,compact,sedan,grey,34.26475,-119.2459
rochester,NY,22995,2013,ford,f150,like new,6 cylinders,gas,27024,clean,automatic,4wd,full-size,pickup,black,42.8851,-77.46
northwest GA,GA,26000,2006,ram,2500 laramie,excellent,8 cylinders,diesel,126000,clean,manual,4wd,full-size,pickup,grey,35.028872,-85.331497
ft myers ,FL,6000,2005,nissan,titan se crew cab 4wd,good,8 cylinders,gas,197000,clean,automatic,4wd,full-size,pickup,grey,26.419726,-81.723381
